ImgID,Detector,Descriptor,DetectorTime(ms),DescriptorTime(ms),VehicleKeypointsCount,VehicleKeypoints/TotalKeypoints(%),MatchedVehicleKeypointsCount,,TotalTime,
2,HARRIS,SIFT,2.76185,13.5402,18,15.9292,11,,16.302,
3,HARRIS,SIFT,2.92028,14.7205,21,17.3554,16,,17.6408,
4,HARRIS,SIFT,4.18548,14.3694,26,16.25,19,,18.5549,
5,HARRIS,SIFT,32.6466,17.6073,42,10.7969,24,,50.254,
6,HARRIS,SIFT,2.30659,14.9156,18,21.1765,22,,17.2222,
7,HARRIS,SIFT,6.69196,15.8889,31,14.9038,13,,22.5808,
8,HARRIS,SIFT,4.49735,15.0775,25,14.7059,26,,19.5749,
9,HARRIS,SIFT,15.9268,15.0488,36,12.5436,22,,30.9756,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,FAST,BRIEF,1.08708,1.73781,149,8.16886,0,,2.82489,
1,FAST,BRIEF,0.974224,1.3486,152,8.29694,119,,2.32283,
2,FAST,BRIEF,0.954421,0.753965,150,8.28729,130,,1.70839,
3,FAST,BRIEF,1.39455,1.05257,155,8.53054,118,,2.44713,
4,FAST,BRIEF,0.919943,0.745252,149,8.31009,126,,1.66519,
5,FAST,BRIEF,0.948068,0.744919,149,8.29621,108,,1.69299,
6,FAST,BRIEF,0.921747,0.822252,156,8.72483,123,,1.744,
7,FAST,BRIEF,0.945922,0.933028,150,8.84956,131,,1.87895,
8,FAST,BRIEF,0.955576,0.689559,138,7.89022,125,,1.64513,
9,FAST,BRIEF,1.4122,1.29089,143,8.0791,119,,2.70309,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,FAST,ORB,0.981012,1.03526,149,8.16886,0,,2.01627,
1,FAST,ORB,0.940168,1.04387,152,8.29694,118,,1.98404,
2,FAST,ORB,1.39119,1.01863,150,8.28729,123,,2.40982,
3,FAST,ORB,0.94584,0.997242,155,8.53054,112,,1.94308,
4,FAST,ORB,0.942499,1.00806,149,8.31009,126,,1.95056,
5,FAST,ORB,1.34612,1.22204,149,8.29621,106,,2.56816,
6,FAST,ORB,0.933864,1.00406,156,8.72483,122,,1.93792,
